addressLine1;addressLine2;size;rooms;fee;price;soldDate;lat;lng
Grindtorps skolgränd 28, bv;Täby Centrum, Täby;81;3;4591;3380000;2018-10-07T22:00:00.000Z;59.4431653;18.0730142
Evenemangsgatan 18, 13tr;Arenastaden, Stockholm;72;3;3578;4200000;2018-10-05T22:00:00.000Z;59.3711917;17.9991289
Ringvägen 157;Katarina/Sofia, Stockholm;64;2;2765;5200000;2018-10-04T22:00:00.000Z;59.3097815;18.0847914
Tegvägen 6, 2 tr.;Viksjö, Stockholm;93;4;5204;2225000;2018-10-07T22:00:00.000Z;59.41072459999999;17.8010034
Bondegatan 13;Katarina/Sofia, Stockholm;44;1.5;2724;3700000;2018-10-04T22:00:00.000Z;59.3129557;18.0790931
Hagalundsgatan 20, 9tr;Hagalund, Stockholm;59;2;2915;2850000;2018-10-07T22:00:00.000Z;59.3616149;18.011225
Sibeliusgången 26, 7 tr;Akalla, Stockholm;71;3;2948;2300000;2018-10-05T22:00:00.000Z;59.4151912;17.9142511
Mosshagestigen 163;Salem, Tumba;110;4;6565;2000000;2018-10-04T22:00:00.000Z;59.19897650000001;17.7871756
Salemsvägen 1;Rönninge, Tumba;106;4;4327;3200000;2018-10-04T22:00:00.000Z;59.19597269999999;17.7494352
Augustendalsvägen 30;Nacka Strand, Stockholm;64;2;3573;2995000;2018-10-07T22:00:00.000Z;59.3175517;18.1630112
Elkabelgatan 5;Älvsjö, Stockholm;80;3;4278;4095000;2018-10-05T22:00:00.000Z;59.281223;18.0038338
Högklintavägen 20, 3 tr;Centrala Sundbyberg, Stockholm;82.5;3;4512;4050000;2018-10-04T22:00:00.000Z;59.3608038;17.9673387
Chamottevägen 19;Gustavsbergs Hamn, Gustavsberg;72;3;4296;3300000;2018-10-07T22:00:00.000Z;59.32179590000001;18.3804046
Sehlstedtsgatan 3;Östermalm/Gärdet/Hjorthagen, Stockholm;39;2;2000;3300000;2018-10-04T22:00:00.000Z;59.34217580000001;18.1114763
Tolanvägen 32;Odenslunda, Upplands Väsby;96;4;6712;2200000;2018-10-05T22:00:00.000Z;59.5165628;17.9363866
Odins väg 12;Gröndal, Nynäshamn;81;3;6454;1190000;2018-10-07T22:00:00.000Z;58.9020485;17.9354899
Mariagatan 9;Sundbyberg, Stockholm;29;1;627;2635000;2018-10-04T22:00:00.000Z;59.3628422;17.9773333
Ölandsgatan 48, 6 tr;Södermalm SoFo, Stockholm;85;3.5;2579;8600000;2018-10-04T22:00:00.000Z;59.3087458;18.0779572
Njupkärrsvägen 84, bv;Tyresö Centrum, Stockholm;76.5;2;4566;1995000;2018-10-07T22:00:00.000Z;59.24136499999999;18.2162016
Roslagsgatan 53, 4tr;Vasastan, Stockholm;33;1.5;1710;3050000;2018-10-05T22:00:00.000Z;59.3497971;18.056227
Gamla Värmdövägen 2;Finntorp, Stockholm;122;4;6367;5755000;2018-10-07T22:00:00.000Z;59.307464;18.1380794
Tjustgatan 5, 5 tr.;Katarina, Stockholm;115;5;4145;8900000;2018-10-04T22:00:00.000Z;59.31187689999999;18.0710296
Borensvägen 44;Årsta, Stockholm;49;2;3281;2575000;2018-10-04T22:00:00.000Z;59.2963872;18.0555313
Lagmansbacken 9;Alby - Norsborg, Stockholm;30;1;1873;1400000;2018-10-04T22:00:00.000Z;59.24009399999999;17.8456002
Högnäsvägen 5;Näset, Lidingö;57;2;2767;2200000;2018-10-07T22:00:00.000Z;59.3721165;18.1486941
Industrigatan 16, 7 tr;Kungsholmen/Fridhemsplan, Stockholm;24;1;809;2630000;2018-10-05T22:00:00.000Z;59.3375751;18.0286809
Kungsbro Strand 19;Kungsholmen, Stockholm;20.5;1;1531;2410000;2018-10-04T22:00:00.000Z;59.3304273;18.0507425
Teknikvägen 21, 1tr;Centrum, Vallentuna;87.7;3.5;4260;2230000;2018-10-04T22:00:00.000Z;59.5388945;18.073621
Hökmossevägen 16;Telefonplan, Stockholm;53.5;2;3769;3000000;2018-10-04T22:00:00.000Z;59.2925716;17.996217
Tomtbacksvägen 60;Ekerö Tätort, Ekerö;94;4;6139;3200000;2018-10-05T22:00:00.000Z;59.2787203;17.7846139
Stig lindbergs gata 19A, 1tr;Gustavsberg - Porslinskvarteren, Gustavsberg;38;1;2543;1900000;2018-10-07T22:00:00.000Z;59.3223454;18.3837988
Visirvägen 30;Segeltorp, Stockholm;59;2;3566;2450000;2018-10-04T22:00:00.000Z;59.2820775;17.9335517
Vigelsjövägen 23 C;Vigelsjö, ;43.5;1;2352;1100000;2018-10-04T22:00:00.000Z;59.7601988;18.6801343
Furuvägen 23, 3 tr;Centrala Sundbyberg, Stockholm;63;2;3741;3550000;2018-10-04T22:00:00.000Z;59.36639899999999;17.9711555
Stagneliusvägen 23;Kungsholmen/Fredhäll, Stockholm;34.5;1.5;2250;2305000;2018-10-05T22:00:00.000Z;59.327515;18.0104143
Långhalsvägen 11;Årsta, Stockholm;35.3;1.5;2100;2210000;2018-10-07T22:00:00.000Z;59.2971775;18.0564197
Kungstensgatan 44, 3tr.;Vasastan, Stockholm;60;2;1326;4750000;2018-10-04T22:00:00.000Z;59.3402671;18.0524958
